ISBN,Title,Author,Year,Price,Quantity
9780143038580,Guns Germs and Steel,Jared Diamond,1997,18.95,24
9780525509288,Dopesick,Beth Macy,2018,28.00,18
9780060959470,Fast Food Nation,Eric Schlosser,2001,15.99,16
9780143127796,Capital in the Twenty-First Century,Thomas Piketty,2014,20.00,12
9780307338402,Kitchen Confidential,Anthony Bourdain,2000,16.99,30
9781451648539,Steve Jobs,Walter Isaacson,2011,35.00,25
9780307408877,Blink,Malcolm Gladwell,2005,17.00,28
9780593230251,Caste,Isabel Wilkerson,2020,32.00,26
9780812982626,Just Mercy,Bryan Stevenson,2014,17.00,30
9780062872968,Bad Blood,John Carreyrou,2018,27.99,22
9780679763307,In Cold Blood,Truman Capote,1965,16.95,25
9780812995824,Between the World and Me,Ta-Nehisi Coates,2015,26.00,28
9780307352149,Quiet (Hardcover),Susan Cain,2012,28.00,24
9780307352156,Outliers,Malcolm Gladwell,2008,27.99,32
9780316800730,What Happened to You?,Bruce D. Perry,2021,28.00,25
9780593540145,The Psychology of Money,Morgan Housel,2020,19.99,35
9780593465271,When Breath Becomes Air,Paul Kalanithi,2016,26.00,28
9780803226616,A Love Letter to Black People,Frederick Joseph,2024,24.95,20
9780593489482,The Price of Time,Edward Chancellor,2022,32.00,15
9780593321447,How to Stay Sane in an Age of Division,Elif Shafak,2020,12.95,22
9780802157065,Strangers to Ourselves,Rachel Aviv,2022,28.00,18
9780593534328,Under a White Sky,Elizabeth Kolbert,2021,28.00,20
9780593652992,Drawdown,Paul Hawken,2017,25.00,15
